epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.11504,0.88848,3.71996,0.93059,0,0,0,0,0.50771,3.69444,0.82631,0,0,0
2,3.4149,0.8082,3.73673,0.95941,0,0,0,0,0.49299,3.69143,0.82622,1.41485e-05,1.41485e-05,1.41485e-05
3,4.44037,0.84776,3.64245,0.9616,0,0,0,0,0.46608,3.68202,0.82341,2.80141e-05,2.80141e-05,2.80141e-05
4,5.39762,0.89348,3.58144,0.91573,0.00066,0.06667,0.00052,0.00016,0.46438,3.67987,0.82214,4.15968e-05,4.15968e-05,4.15968e-05
5,6.35184,0.85464,3.49691,0.84124,0.0015,0.08627,0.00098,0.00054,0.49664,3.6679,0.81847,5.48965e-05,5.48965e-05,5.48965e-05
6,7.27681,0.88798,3.33972,0.90045,0.00144,0.08627,0.00114,0.00081,0.53026,3.65908,0.82037,6.79132e-05,6.79132e-05,6.79132e-05
7,8.23037,0.90092,3.29878,0.89652,0.00575,0.25098,0.02,0.01221,0.57102,3.62606,0.83059,8.0647e-05,8.0647e-05,8.0647e-05
8,9.21122,0.7899,3.25019,0.86693,0.01464,0.64314,0.06848,0.04661,0.66839,3.55997,0.83085,9.30979e-05,9.30979e-05,9.30979e-05
9,10.1555,0.70468,3.21492,0.84243,0.02269,0.87451,0.13264,0.09545,0.76416,3.51225,0.82865,0.000105266,0.000105266,0.000105266
10,11.1814,0.88565,2.97907,0.91092,0.0272,0.96078,0.18365,0.13982,0.7917,3.50645,0.8257,0.000117151,0.000117151,0.000117151
11,12.221,0.87415,2.85708,0.84834,0.02998,1,0.22934,0.17185,0.75977,3.49267,0.81088,0.000128753,0.000128753,0.000128753
12,13.5081,0.82837,2.74506,0.85655,0.03005,1,0.24279,0.16072,0.74404,3.49966,0.81047,0.000140072,0.000140072,0.000140072
13,14.4248,0.76101,2.61466,0.8678,0.02996,1,0.25102,0.17182,0.77052,3.48817,0.81578,0.000151108,0.000151108,0.000151108
14,15.3423,0.93454,2.48131,0.87846,0.02924,1,0.25909,0.14295,0.78911,3.49523,0.82308,0.000161861,0.000161861,0.000161861
15,16.2743,0.81017,2.24786,0.8582,0.0277,1,0.27653,0.14812,0.8197,3.49974,0.8272,0.000172332,0.000172332,0.000172332
16,17.1681,0.78442,2.45366,0.88781,0.0268,0.93333,0.29167,0.16994,0.8899,3.47047,0.83094,0.000182519,0.000182519,0.000182519
17,18.0591,1.0539,2.20347,0.99011,0.02678,0.93333,0.29914,0.19093,1.0345,3.46672,0.85366,0.000192423,0.000192423,0.000192423
18,18.915,0.90394,1.96039,0.91685,0.02678,0.93333,0.29914,0.19093,1.0345,3.46672,0.85366,0.000202045,0.000202045,0.000202045
19,19.813,0.85628,1.85079,0.88956,0.02723,0.93333,0.33103,0.20218,1.16899,3.54692,0.90089,0.000211383,0.000211383,0.000211383
20,20.6961,0.90426,1.59772,0.88447,0.02723,0.93333,0.33103,0.20218,1.16899,3.54692,0.90089,0.000220439,0.000220439,0.000220439
21,21.5952,0.83039,1.74866,0.90481,0.02579,0.86667,0.34367,0.20888,1.15189,3.60602,0.91384,0.000229212,0.000229212,0.000229212
22,22.5087,0.76737,1.54147,0.90278,0.02579,0.86667,0.34367,0.20888,1.15189,3.60602,0.91384,0.000237701,0.000237701,0.000237701
23,23.3959,0.9287,1.8926,0.89238,0.02624,1,0.3874,0.2581,1.07346,3.48957,0.88646,0.000245908,0.000245908,0.000245908
24,24.2858,0.81676,1.73886,0.91873,0.02624,1,0.3874,0.2581,1.07346,3.48957,0.88646,0.000253832,0.000253832,0.000253832
25,25.1678,0.90288,2.03342,0.89187,0.02556,1,0.42921,0.3013,0.95821,3.40099,0.84903,0.000261473,0.000261473,0.000261473
26,26.0765,0.81825,1.5999,0.8863,0.02556,1,0.42921,0.3013,0.95821,3.40099,0.84903,0.000268831,0.000268831,0.000268831
27,26.977,0.74563,1.48872,0.88262,0.02491,1,0.52331,0.37458,0.88294,3.36014,0.83837,0.000275906,0.000275906,0.000275906
28,27.8948,0.8216,1.47209,0.91932,0.02491,1,0.52331,0.37458,0.88294,3.36014,0.83837,0.000282698,0.000282698,0.000282698
29,28.7753,0.83783,1.64502,0.89668,0.02386,1,0.64699,0.47264,0.83979,3.34312,0.83333,0.000289207,0.000289207,0.000289207
30,29.6433,0.90333,1.40319,0.94817,0.02386,1,0.64699,0.47264,0.83979,3.34312,0.83333,0.000295433,0.000295433,0.000295433
31,30.519,0.82307,1.26876,0.90346,0.02318,1,0.69269,0.46241,0.85736,3.33675,0.83822,0.000301376,0.000301376,0.000301376
32,31.4241,0.83523,1.2758,0.87772,0.02318,1,0.69269,0.46241,0.85736,3.33675,0.83822,0.000307036,0.000307036,0.000307036
33,32.4603,0.89292,1.3141,0.86956,0.02274,1,0.54432,0.32341,0.85635,3.32781,0.83841,0.000312414,0.000312414,0.000312414
34,33.7324,0.85554,1.28943,0.89749,0.02274,1,0.54432,0.32341,0.85635,3.32781,0.83841,0.000317508,0.000317508,0.000317508
35,34.6632,0.85807,1.3217,0.90747,0.02254,1,0.53892,0.29072,0.94083,3.32294,0.85724,0.00032232,0.00032232,0.00032232
36,35.5306,0.86415,1.13711,0.87503,0.02254,1,0.53892,0.29072,0.94083,3.32294,0.85724,0.000326848,0.000326848,0.000326848
37,36.4441,0.83614,1.35352,0.87823,0.02242,1,0.63305,0.29937,1.02823,3.33108,0.88227,0.000331094,0.000331094,0.000331094
38,37.3376,0.76038,1.18773,0.90178,0.02242,1,0.63305,0.29937,1.02823,3.33108,0.88227,0.000335056,0.000335056,0.000335056
39,38.2455,0.77125,1.09627,0.89456,0.02239,1,0.65061,0.35521,1.12958,3.3415,0.90692,0.000338736,0.000338736,0.000338736
40,39.1543,0.7995,1.01724,0.91041,0.02239,1,0.65061,0.35521,1.12958,3.3415,0.90692,0.000342133,0.000342133,0.000342133
41,40.0891,0.77898,1.0204,0.88882,0.02225,1,0.70171,0.41868,1.15934,3.3491,0.91349,0.000345246,0.000345246,0.000345246
42,40.9716,0.95118,1.02068,0.96576,0.02225,1,0.70171,0.41868,1.15934,3.3491,0.91349,0.000348077,0.000348077,0.000348077
43,41.8458,0.91012,1.33617,0.92296,0.02231,1,0.89683,0.56654,1.09165,3.32012,0.90963,0.000350625,0.000350625,0.000350625
44,42.7097,1.0201,1.00717,0.91402,0.02231,1,0.89683,0.56654,1.09165,3.32012,0.90963,0.00035289,0.00035289,0.00035289
45,43.5989,0.81968,0.9814,0.92532,0.02263,1,0.91014,0.60708,0.95639,3.28834,0.88592,0.000354872,0.000354872,0.000354872
46,44.4718,0.79728,0.86829,0.90342,0.02263,1,0.91014,0.60708,0.95639,3.28834,0.88592,0.000356571,0.000356571,0.000356571
47,45.3812,0.79753,1.07388,0.8841,0.02268,1,0.82077,0.59897,0.81614,3.25916,0.8662,0.000357987,0.000357987,0.000357987
48,46.2464,0.77702,1.14619,0.85561,0.02268,1,0.82077,0.59897,0.81614,3.25916,0.8662,0.000359121,0.000359121,0.000359121
49,47.1176,0.9918,1.50073,1.03761,0.02285,1,0.76795,0.59529,0.81252,3.23614,0.85815,0.000359971,0.000359971,0.000359971
50,47.9975,0.79579,0.95939,0.89473,0.02285,1,0.76795,0.59529,0.81252,3.23614,0.85815,0.000360538,0.000360538,0.000360538
51,48.8933,0.83861,1.08911,0.94427,0.02305,1,0.7627,0.57597,0.87792,3.22212,0.86056,0.000360822,0.000360822,0.000360822
52,49.7813,0.77675,0.92862,0.88552,0.02305,1,0.7627,0.57597,0.87792,3.22212,0.86056,0.000360824,0.000360824,0.000360824
53,50.7238,0.71874,0.98573,0.86688,0.02305,1,0.7627,0.57597,0.87792,3.22212,0.86056,0.000360542,0.000360542,0.000360542
54,51.6759,0.77694,0.86588,0.88133,0.02329,1,0.77854,0.59874,0.94591,3.19625,0.86844,0.000359978,0.000359978,0.000359978
55,52.6111,0.73352,0.98431,0.89238,0.02329,1,0.77854,0.59874,0.94591,3.19625,0.86844,0.000359131,0.000359131,0.000359131
56,53.4718,0.77447,0.86598,0.89479,0.02329,1,0.77854,0.59874,0.94591,3.19625,0.86844,0.000358,0.000358,0.000358
57,54.4132,0.79838,1.09528,0.91377,0.02329,1,0.80423,0.62077,0.94435,3.14584,0.87976,0.000356587,0.000356587,0.000356587
58,55.3047,0.74259,0.90457,0.87319,0.02329,1,0.80423,0.62077,0.94435,3.14584,0.87976,0.000354891,0.000354891,0.000354891
59,56.579,0.64143,0.8981,0.89309,0.02329,1,0.80423,0.62077,0.94435,3.14584,0.87976,0.000352912,0.000352912,0.000352912
60,57.4848,0.7821,1.07195,0.9768,0.02344,1,0.9022,0.65738,0.97166,3.10048,0.89858,0.000350649,0.000350649,0.000350649
61,58.3774,0.68245,0.91148,0.8414,0.02344,1,0.9022,0.65738,0.97166,3.10048,0.89858,0.000348104,0.000348104,0.000348104
62,59.224,0.8229,0.83,0.90474,0.02344,1,0.9022,0.65738,0.97166,3.10048,0.89858,0.000345276,0.000345276,0.000345276
63,60.1109,0.69875,0.93954,0.87721,0.02318,1,0.98581,0.66336,1.1043,3.07636,0.95685,0.000342165,0.000342165,0.000342165
64,60.9798,0.78053,0.88802,0.8621,0.02318,1,0.98581,0.66336,1.1043,3.07636,0.95685,0.000338772,0.000338772,0.000338772
65,61.8554,0.69047,0.93067,0.89444,0.02318,1,0.98581,0.66336,1.1043,3.07636,0.95685,0.000335095,0.000335095,0.000335095
