epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90847,1.20582,3.87938,0.93164,0.00523,0.37255,0.01031,0.00537,0.7121,4.02991,0.80957,0,0,0
2,2.84768,1.23046,3.84217,0.96483,0.00502,0.37255,0.0105,0.00586,0.69319,4.02284,0.8081,1.42617e-05,1.42617e-05,1.42617e-05
3,3.57668,1.14193,3.85303,0.9662,0.00624,0.39216,0.01127,0.00687,0.67463,4.01437,0.80642,2.84668e-05,2.84668e-05,2.84668e-05
4,4.19523,1.25838,3.8572,0.93083,0.00701,0.41176,0.01208,0.00806,0.65953,4.00131,0.80222,4.26154e-05,4.26154e-05,4.26154e-05
5,4.80615,1.03558,3.78546,0.88786,0.01019,0.47059,0.01505,0.01013,0.66386,3.99052,0.79234,5.67073e-05,5.67073e-05,5.67073e-05
6,5.47347,1.11876,3.82134,0.91075,0.01271,0.52941,0.01979,0.01424,0.70093,3.98669,0.78984,7.07426e-05,7.07426e-05,7.07426e-05
7,6.10191,1.01633,3.76389,0.85138,0.01539,0.60784,0.02545,0.01905,0.70155,3.97833,0.78773,8.47214e-05,8.47214e-05,8.47214e-05
8,6.70884,1.04673,3.78694,0.90373,0.01679,0.66667,0.03137,0.02295,0.69864,3.96267,0.78503,9.86436e-05,9.86436e-05,9.86436e-05
9,7.4573,1.197,3.70001,0.87462,0.01679,0.66667,0.03137,0.02295,0.69864,3.96267,0.78503,0.000112509,0.000112509,0.000112509
10,8.1039,0.98523,3.5601,0.88394,0.01528,0.66667,0.04153,0.02892,0.74862,3.94513,0.79301,0.000126318,0.000126318,0.000126318
11,8.72624,0.91807,3.6187,0.86134,0.01528,0.66667,0.04153,0.02892,0.74862,3.94513,0.79301,0.000140071,0.000140071,0.000140071
12,9.32829,1.00734,3.66118,0.85881,0.01437,0.66667,0.043,0.02733,0.88933,3.95671,0.80688,0.000153766,0.000153766,0.000153766
13,9.93064,1.08524,3.58989,0.84301,0.01437,0.66667,0.043,0.02733,0.88933,3.95671,0.80688,0.000167406,0.000167406,0.000167406
14,10.5681,1.16426,3.56378,0.85705,0.01601,0.73333,0.04403,0.02682,0.95989,3.94792,0.81273,0.000180988,0.000180988,0.000180988
